Date,Open,High,Low,Close,Adj Close,Volume,Average,Relative to mean,% increase,Column1,Historical,,
6/29/2015,140.960007,141.320007,138.580002,138.729996,121.927437,3755500,139.9500045,0.5682665119,0.2842365864,,,,
6/30/2015,140.059998,140.059998,138.440002,138.720001,121.918640,3434800,139.25,0.565424146,-0.5400466516,,,,
7/1/2015,140.479996,141.139999,140.020004,140.729996,123.685211,3260900,140.5800015,0.5708246125,-0.04872717687,,,,
7/2/2015,141.289993,141.520004,139.880005,140.210007,123.228165,2116500,140.7000045,0.5713118843,0.3390541021,,,,
7/6/2015,139.020004,140.729996,139,140.520004,123.500633,2093400,139.864998,0.5679213433,-0.7816466029,,,,
7/7/2015,140.800003,143.440002,140.139999,143.149994,125.812065,3712000,141.7900005,0.5757378093,-0.2212964535,,,,
7/8/2015,142.5,143.149994,141.520004,141.919998,124.731049,3386500,142.334999,0.5779507738,-0.4588350962,,,,
7/9/2015,143.889999,144.199997,142.729996,142.800003,125.504471,2486800,143.4649965,0.5825391248,-0.4324436957,,,,
7/10/2015,144.139999,145.190002,143.869995,144.479996,126.981033,2192100,144.5299985,0.5868635617,-0.6679535114,,,,
7/13/2015,145.960007,146.75,145.600006,146.619995,128.861847,2194200,146.175003,0.5935430969,-0.4872583691,,,,
7/14/2015,146.759995,148.300003,146.449997,147.75,129.854950,3388800,147.375,0.5984156805,0.1055737227,,,,
7/15/2015,147.75,147.75,146.479996,146.889999,129.099136,2653900,147.114998,0.5973599433,-0.4750803308,,,,
7/16/2015,147.789993,148.800003,147.770004,148.490005,130.505310,2509600,148.2850035,0.6021107466,0.6314074181,,,,
7/17/2015,147.25,147.440002,146.020004,146.839996,129.055145,3127100,146.730003,0.5957966724,0.07105970493,,,,
7/20/2015,147.110001,147.199997,145.910004,146.720001,128.949738,3016100,146.5550005,0.5950860754,0.4669579165,,,,
7/21/2015,146.589996,146.589996,144.220001,145,127.438004,4452600,145.4049985,0.5904164962,-0.7065257924,,,,
7/22/2015,148.899994,149.179993,145.110001,146.470001,128.729965,6238400,147.144997,0.5974817542,0.1116644675,,,,
7/23/2015,147,147.949997,145.789993,146.110001,128.413574,4116000,146.869995,0.5963651095,0.667950263,,,,
7/24/2015,145.809998,146.470001,143.979996,144.059998,126.611870,2455000,145.2249985,0.5896856068,1.27905398,,,,
7/27/2015,143.220001,143.350006,140.800003,141.029999,123.948860,3532100,142.0750045,0.576895067,0.5014745736,,,,
7/28/2015,141.610001,142.169998,139.509995,141.809998,124.634377,4138200,140.8399965,0.5718803213,-1.076032197,,,,
7/29/2015,142.479996,144.610001,142.369995,144.139999,126.682167,3260400,143.489998,0.5826406433,0.1725692766,,,,
7/30/2015,143.350006,143.919998,142.210007,143.009995,125.689041,2644000,143.0650025,0.5809149505,-0.4222887999,,,,
7/31/2015,143.759995,144.919998,143.289993,144.169998,126.708534,3163500,144.1049955,0.5851378385,0.1766305852,,,,
8/3/2015,144.440002,144.75,142.589996,143.690002,126.286659,3088000,143.669998,0.5833715327,-0.1157225278,,,,
8/4/2015,143.550003,144.869995,143.039993,143.539993,126.154839,1973000,143.954994,0.5845287579,-0.2964207154,,,,
8/5/2015,143.899994,145.600006,143.770004,144.949997,128.206833,2926100,144.685005,0.5874929651,0.1421198159,,,,
8/6/2015,144.699997,145.25,143.419998,143.820007,127.207359,2457000,144.334999,0.5860717669,0.6354687268,,,,
8/7/2015,143.220001,143.839996,141.699997,142.419998,125.969101,2953200,142.7699965,0.5797170797,-1.017156419,,,,
8/10/2015,143.789993,146.770004,143.779999,145.860001,129.011719,3432600,145.2750015,0.5898886439,0.4750803308,,,,
8/11/2015,144.139999,144.929993,143.279999,144.050003,127.410820,2816700,144.104996,0.5851378405,1.084151769,,,,
8/12/2015,142.550003,143.009995,139.860001,142.429993,125.977913,4355800,141.434998,0.5742963229,-0.8344320431,,,,
8/13/2015,142.029999,145.449997,141.529999,144.809998,128.083054,5129500,143.489998,0.5826406433,-0.456805863,,,,
8/14/2015,144.610001,145.470001,143.759995,145.089996,128.330704,2927100,144.614998,0.5872087019,0.2923561584,,,,
8/17/2015,144.600006,144.860001,142.929993,144.440002,127.755768,3746000,143.894997,0.5842851403,-0.2517548472,,,,
8/18/2015,144.389999,145.210007,143.820007,144.600006,127.897301,1955500,144.515007,0.5868026888,0.4527475997,,,,
8/19/2015,143.419998,144.479996,142.320007,142.720001,126.234451,2967700,143.4000015,0.5822752128,1.624201669,,,,
8/20/2015,141.619995,141.899994,136.899994,137.020004,121.192863,6601400,139.399994,0.5660331961,2.487051098,,,,
8/21/2015,134.880005,135.089996,131.460007,131.710007,116.496223,7957600,133.2750015,0.5411626851,3.230125826,,,,
8/24/2015,123.639999,135.5,115.139999,127.190002,112.498322,9425800,125.3199995,0.5088614269,-1.118667208,,,,
8/25/2015,130,130.720001,125.43,125.489998,110.994690,7159100,128.0750005,0.520048099,0.2355094096,,,,
8/26/2015,129.339996,129.759995,125.230003,129.339996,114.399956,6428400,127.494999,0.5176930049,-1.386661606,,,,
8/27/2015,131.080002,132.360001,129.460007,131.869995,116.637733,5754600,130.910004,0.5315596209,-0.5603473071,,,,
8/28/2015,131.429993,133.720001,130.860001,133.240005,117.849472,4508800,132.290001,0.537163094,0.3025082119,,,,
8/31/2015,132.369995,132.699997,130.389999,130.679993,115.585190,4231700,131.544998,0.5341380119,1.453655535,,,,
9/1/2015,128.160004,128.990005,126.940002,127.440002,112.719452,5772700,127.9650035,0.5196014565,-0.5034993402,,,,
9/2/2015,128.710007,130.669998,127.739998,130.630005,115.540962,4809300,129.204998,0.5246364499,-0.8973709579,,,,
9/3/2015,132.309998,132.350006,130.479996,131.020004,115.885918,3379500,131.415001,0.5336101595,0.7471299459,,,,
9/4/2015,129.550003,130.490005,128.660004,129.759995,114.771439,3746700,129.5750045,0.52613886,-1.388689011,,,,
9/8/2015,132.270004,133.990005,132,133.820007,118.362495,3505800,132.9950025,0.5400257502,-0.5014717312,,,,
9/9/2015,135.589996,136.25,132.210007,132.649994,117.327629,4713900,134.2300035,0.5450404675,0.3288994093,,,,
